,date,real_output,RFR
23496,1568325600000,0.0,1.8905362660926552e-06
23497,1568329200000,0.0,1.8905362660926552e-06
23499,1568336400000,0.0,1.8905362660926552e-06
23500,1568340000000,0.0,1.8905362660926552e-06
23501,1568343600000,0.0,1.8905362660926552e-06
23502,1568347200000,0.0,1.8905362660926552e-06
23503,1568350800000,0.19,0.3652
23505,1568358000000,5.26,2.8325
23506,1568361600000,9.08,9.421600000000005
23507,1568365200000,9.32,11.9853
23508,1568368800000,12.34,8.2748
23509,1568372400000,8.79,11.391200000000001
23511,1568379600000,6.47,10.264800000000005
23512,1568383200000,11.24,8.036600000000004
23513,1568386800000,3.82,7.638299999999999
23514,1568390400000,4.37,4.636000000000001
23515,1568394000000,2.23,1.0656000000000008
23517,1568401200000,0.0,0.16359999999999997
23518,1568404800000,0.0,1.8905362660926552e-06
23519,1568408400000,0.0,1.8905362660926552e-06
23520,1568412000000,0.0,1.8905362660926552e-06
23521,1568415600000,0.0,1.8905362660926552e-06
23523,1568422800000,0.0,1.8905362660926552e-06
23524,1568426400000,0.0,1.8905362660926552e-06
23525,1568430000000,0.0,1.8905362660926552e-06
23526,1568433600000,0.0,1.8905362660926552e-06
23527,1568437200000,0.58,0.8795999999999996
23529,1568444400000,6.38,5.164899999999999
23530,1568448000000,9.17,10.5517
23531,1568451600000,11.95,12.386100000000004
23532,1568455200000,13.82,14.099199999999998
23533,1568458800000,14.25,14.2328
23535,1568466000000,12.55,12.690400000000006
23536,1568469600000,9.08,10.207899999999995
23537,1568473200000,4.34,7.115099999999996
23538,1568476800000,2.77,4.605000000000002
23539,1568480400000,0.58,0.6410000000000001
23541,1568487600000,0.0,0.058299999999999984
23542,1568491200000,0.0,1.8905362660926552e-06
23544,1568498400000,0.0,1.8905362660926552e-06
23545,1568502000000,0.0,1.8905362660926552e-06
23546,1568505600000,0.0,1.8905362660926552e-06
23547,1568509200000,0.0,1.8905362660926552e-06
23548,1568512800000,0.0,1.8905362660926552e-06
23549,1568516400000,0.0,1.8905362660926552e-06
23550,1568520000000,0.0,1.8905362660926552e-06
23551,1568523600000,0.0,0.14620000000000008
23553,1568530800000,0.27,0.9140999999999994
23554,1568534400000,2.54,1.8426999999999998
23555,1568538000000,3.95,5.8485000000000005
23556,1568541600000,12.94,8.683400000000004
23557,1568545200000,13.31,12.002800000000002
23559,1568552400000,12.36,11.4964
23560,1568556000000,7.48,9.560599999999999
23561,1568559600000,4.6,6.031200000000002
23562,1568563200000,4.12,4.491900000000002
23563,1568566800000,1.41,0.9879000000000007
23565,1568574000000,0.0,0.23349999999999993
23566,1568577600000,0.0,1.8905362660926552e-06
23567,1568581200000,0.0,1.8905362660926552e-06
23568,1568584800000,0.0,1.8905362660926552e-06
23569,1568588400000,0.0,1.8905362660926552e-06
23571,1568595600000,0.0,1.8905362660926552e-06
23572,1568599200000,0.0,1.8905362660926552e-06
23573,1568602800000,0.0,1.8905362660926552e-06
23574,1568606400000,0.0,1.8905362660926552e-06
23575,1568610000000,0.2,0.5324000000000001
23577,1568617200000,6.04,2.944299999999999
23578,1568620800000,7.38,8.009500000000003
23579,1568624400000,5.37,8.527800000000001
23580,1568628000000,5.77,8.636299999999999
23581,1568631600000,4.47,8.4857
23583,1568638800000,4.02,6.3850999999999996
23584,1568642400000,3.05,4.1695
23585,1568646000000,2.71,3.5460000000000007
23586,1568649600000,2.4,1.4781999999999997
23587,1568653200000,0.3,0.5023999999999998
23588,1568656800000,0.0,0.06499999999999996
23589,1568660400000,0.0,1.8905362660926552e-06
